"","hOMTN_6","hProgFPM_6","Unk_6","hNProg_6","hProgFPL_6","hProgM_6","hProgBP_6","hNbML1_6","hEndo_6","hRgl3_6","hNbM_6","hDA0_6","hMgl_7","hRgl2a_7","Unk_7","hNProg_7","hProgBP_7","hProgM_7","hOMTN_7","hDA0_7","hNbM_7","hProgFPL_7","hEndo_7","hProgFPM_7","hRgl2b_7","hNbML5_7","hRgl3_7","hRN_7","hPeric_7","hDA1_7","hRgl1_7","Unk_8","hProgFPM_8","hProgFPL_8","hProgBP_8","hProgM_8","hOMTN_8","hRgl1_8","hNProg_8","hRN_8","hDA1_8","hNbM_8","hDA0_8","hNbML1_8","hNbML5_8","hMgl_8","hRgl2b_8","hGaba_9","hRgl2a_9","Unk_9","hDA2_9","hSert_9","hOMTN_9","hDA0_9","hDA1_9","hMgl_9","hNbGaba_9","hRgl2b_9","hNbM_9","hPeric_9","hRgl3_9","hNProg_9","hProgBP_9","hRgl1_9","hProgM_9","hNbML5_9","hEndo_9","hRN_9","hNbML1_9","hProgFPL_9","hProgFPM_9","hPeric_10","hRgl2a_10","Unk_10","hRgl3_10","hProgM_10","hProgBP_10","hRgl2b_10","hDA2_10","hNProg_10","hDA0_10","hRgl1_10","hEndo_10","hRgl2c_10","hGaba_10","hOPC_10","hMgl_10","hDA1_10","hNbM_10","hNbML5_10","hNbGaba_10","hSert_10","hOMTN_10","hRgl2b_11","hOPC_11","hPeric_11","hRgl2a_11","Unk_11","hRgl2c_11","hNProg_11","hRgl3_11","hEndo_11","hDA0_11","hProgM_11","hRgl1_11","hSert_11","hOMTN_11","hMgl_11","hNbM_11","hDA2_11","hGaba_11","hNbGaba_11","hProgBP_11"
"SERBP1",0.961538461538462,0.719298245614035,0.636363636363636,0.740740740740741,0.911764705882353,0.810810810810811,0.739130434782609,0.583333333333333,1,1,0.4,1,0,0.764705882352941,0.470588235294118,0.444444444444444,0.5,1,0.529411764705882,0.166666666666667,0.4,0.6,0.5,1,0.5,0.166666666666667,0,0.555555555555556,0.5,0.4,0.5,0.62962962962963,0.869565217391304,0.923076923076923,0.75,0.833333333333333,0.689655172413793,0.875,0.627906976744186,0.636363636363636,1,0.744186046511628,0,0.666666666666667,0.8,0.75,1,0.608695652173913,0.461538461538462,0.492307692307692,0.833333333333333,0.666666666666667,0.619047619047619,0.533333333333333,0.692307692307692,1,0.625,0.5,0.5,0.333333333333333,0.666666666666667,0.384615384615385,0.722222222222222,1,0.666666666666667,0.517241379310345,0.6,0.444444444444444,0.7,1,0,0.634782608695652,0.72,0.472972972972973,0.619047619047619,0.75,0.25,0.722222222222222,0.619047619047619,0.4,0.3125,0.647058823529412,0.583333333333333,1,0.6,0.75,0.75,0.666666666666667,0.684210526315789,0.571428571428571,0.333333333333333,0.75,0.857142857142857,0.708333333333333,0.666666666666667,0.676056338028169,0.7625,0.435897435897436,0.7,0.333333333333333,0.68,0.651162790697674,0.2,0,0.444444444444444,0.333333333333333,0.333333333333333,0.571428571428571,0.5,0.5,1,0.333333333333333,0.5
"TMEM126B",0.423076923076923,0.263157894736842,0.121212121212121,0.296296296296296,0.176470588235294,0.378378378378378,0.239130434782609,0.333333333333333,0,1,0.3,0,0,0.176470588235294,0,0,0.25,0.5,0.352941176470588,0,0,0.2,1,0,0.5,0.166666666666667,0,0.222222222222222,0.5,0.4,0.5,0.166666666666667,0.217391304347826,0.0769230769230769,0.15625,0.111111111111111,0.206896551724138,0.375,0.0930232558139535,0.272727272727273,0,0.232558139534884,0,0.133333333333333,0,0,1,0.0869565217391304,0.0769230769230769,0.107692307692308,0.0833333333333333,0,0.238095238095238,0,0.307692307692308,0,0,0.25,0.416666666666667,0.333333333333333,0.333333333333333,0.0769230769230769,0.333333333333333,0.333333333333333,0,0.172413793103448,0.4,0.222222222222222,0.3,1,0,0.31304347826087,0.18,0.162162162162162,0.333333333333333,0,0,0.166666666666667,0.19047619047619,0.2,0.0625,0.176470588235294,0.25,0,0.1,0.25,0,0.277777777777778,0.157894736842105,0.142857142857143,0,0.5,0.428571428571429,0.208333333333333,0.0952380952380952,0.295774647887324,0.25,0.128205128205128,0.4,0.333333333333333,0.28,0.255813953488372,0,1,0.222222222222222,0,0.166666666666667,0.142857142857143,0.5,0.5,0.666666666666667,0.333333333333333,0
"TPTE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185185185185185,0,0,0,0,0.0344827586206897,0,0,0,0,0,0,0,0,0,0,0.0217391304347826,0,0.0153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103448275862069,0,0,0,0,0,0.00869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WWC2",0.192307692307692,0.105263157894737,0.0303030303030303,0.185185185185185,0.264705882352941,0.216216216216216,0.0869565217391304,0.25,0,0,0.1,0,0,0.235294117647059,0,0,0,0.25,0,0,0,0,1,0,0.333333333333333,0,0,0.111111111111111,0,0.4,0.5,0.0925925925925926,0.217391304347826,0.230769230769231,0.125,0.166666666666667,0.0344827586206897,0.125,0.0697674418604651,0,0.5,0,0,0.133333333333333,0,0,0,0.0434782608695652,0.153846153846154,0.0461538461538462,0,0,0.142857142857143,0.133333333333333,0.307692307692308,0.333333333333333,0.125,0.75,0.166666666666667,0,0,0,0.277777777777778,1,0.333333333333333,0.103448275862069,0.6,0.222222222222222,0.1,0.5,0,0.208695652173913,0.16,0.0405405405405405,0.142857142857143,0,0.25,0.111111111111111,0.0476190476190476,0.4,0,0.411764705882353,0.208333333333333,0,0.1,0,0.25,0,0,0,0,0.125,0,0.1875,0.19047619047619,0.126760563380282,0.275,0.0769230769230769,0.2,0,0.04,0.348837209302326,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0
"ZDHHC11",0.0384615384615385,0,0,0,0.0588235294117647,0.0540540540540541,0.0434782608695652,0,0,0,0,0,0,0.117647058823529,0.0588235294117647,0,0.0625,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0.0344827586206897,0,0.0465116279069767,0.0909090909090909,0,0.0930232558139535,0,0,0.2,0.25,0,0.0652173913043478,0.0769230769230769,0,0,0,0.0952380952380952,0,0.0769230769230769,0,0.0625,0,0.0833333333333333,0,0.333333333333333,0.153846153846154,0.0555555555555556,0,0,0.0344827586206897,0,0.111111111111111,0.2,0,0,0.0347826086956522,0.08,0.0675675675675676,0.0952380952380952,0.25,0,0,0.142857142857143,0,0.0625,0,0,0.166666666666667,0.1,0,0,0,0.157894736842105,0.142857142857143,0,0,0,0.0416666666666667,0.0476190476190476,0,0.075,0,0.05,0,0,0.0232558139534884,0,0,0,0,0,0.142857142857143,0,0,0.333333333333333,0,0
"ZNF407",0.0769230769230769,0.0526315789473684,0,0.111111111111111,0.117647058823529,0.0810810810810811,0,0,0,1,0.1,0,0,0,0.0588235294117647,0,0,0,0.0588235294117647,0.166666666666667,0,0,0.5,0,0,0.166666666666667,0,0,0,0,0,0.0555555555555556,0,0.0769230769230769,0.03125,0.0555555555555556,0.0344827586206897,0.125,0.0465116279069767,0.0909090909090909,0,0.0465116279069767,0,0.0666666666666667,0,0,1,0.152173913043478,0,0.0923076923076923,0,0.333333333333333,0.142857142857143,0.2,0,0.333333333333333,0,0,0,0,0,0.0769230769230769,0.0555555555555556,0.333333333333333,0,0.137931034482759,0,0.111111111111111,0.2,0.5,0,0.0521739130434783,0.09,0.0405405405405405,0.0476190476190476,0,0,0.0555555555555556,0,0.2,0,0.0588235294117647,0.0833333333333333,0,0.3,0.125,0,0.0555555555555556,0.0526315789473684,0.142857142857143,0.333333333333333,0,0.142857142857143,0.0416666666666667,0.0952380952380952,0.0704225352112676,0.05,0,0.1,0,0.08,0.0232558139534884,0,0,0,0,0,0,0,0,0,0,0.25
"ZNF468",0.0384615384615385,0.0350877192982456,0,0,0,0.027027027027027,0.0652173913043478,0.0833333333333333,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.0185185185185185,0.0434782608695652,0.153846153846154,0.03125,0,0.103448275862069,0.125,0,0.0909090909090909,0,0.0232558139534884,0,0.0666666666666667,0,0.25,0,0.0434782608695652,0,0.0461538461538462,0,0,0.0952380952380952,0.0666666666666667,0.0769230769230769,0,0.0625,0,0,0,0,0,0.0555555555555556,0,0,0.206896551724138,0,0,0.1,0,0,0.0869565217391304,0.12,0.0540540540540541,0.142857142857143,0,0,0.0555555555555556,0,0,0.0625,0.117647058823529,0.0833333333333333,0,0,0,0,0.0555555555555556,0,0,0,0.125,0,0.0208333333333333,0.0476190476190476,0.0422535211267606,0.0375,0,0.15,0.333333333333333,0.08,0.0232558139534884,0.2,0,0.111111111111111,0,0,0,0,0.25,0.333333333333333,0,0
"ADRM1",0.307692307692308,0.192982456140351,0.0606060606060606,0.296296296296296,0.235294117647059,0.297297297297297,0.260869565217391,0.25,0,0,0.1,0,0,0.235294117647059,0,0,0.125,0.25,0.0588235294117647,0,0,0,0,0,0.166666666666667,0,0,0.111111111111111,0,0.2,0,0.166666666666667,0.217391304347826,0.615384615384615,0.1875,0.222222222222222,0.275862068965517,0.5,0.162790697674419,0.181818181818182,0,0.27906976744186,0.25,0.2,0.4,0.5,0,0.0652173913043478,0.0769230769230769,0.0307692307692308,0,0,0.0476190476190476,0,0,0,0.0625,0,0,0,0,0.0769230769230769,0,0.333333333333333,0,0.103448275862069,0,0,0,0,0,0.165217391304348,0.19,0.135135135135135,0.238095238095238,0,0,0.222222222222222,0.380952380952381,0,0.125,0.176470588235294,0.208333333333333,0,0.2,0,0,0.333333333333333,0.210526315789474,0.285714285714286,0.333333333333333,0.375,0.714285714285714,0.145833333333333,0.285714285714286,0.323943661971831,0.25,0.0512820512820513,0.25,0,0.52,0.395348837209302,0,0,0.111111111111111,0,0.166666666666667,0.285714285714286,0.5,0,0,0.333333333333333,0.25
"AGPAT3",0,0,0,0.037037037037037,0.117647058823529,0.0540540540540541,0.0869565217391304,0,0,0,0.1,0,0,0,0,0.111111111111111,0.125,0,0.0588235294117647,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0.0925925925925926,0.173913043478261,0.153846153846154,0.09375,0.166666666666667,0.0689655172413793,0.25,0.116279069767442,0.136363636363636,0,0.13953488372093,0,0.1,0.2,0,1,0.108695652173913,0.153846153846154,0.0615384615384615,0,0.666666666666667,0.0476190476190476,0.0666666666666667,0.0769230769230769,0.333333333333333,0.125,0.25,0,0,0.666666666666667,0,0,0,0.333333333333333,0.137931034482759,0.2,0.111111111111111,0.2,0,0,0.0869565217391304,0.19,0.0945945945945946,0.285714285714286,0,0.25,0.222222222222222,0.19047619047619,0,0.0625,0.117647058823529,0.0833333333333333,0.166666666666667,0.2,0.25,0.5,0.111111111111111,0.157894736842105,0.142857142857143,0.333333333333333,0.125,0,0.104166666666667,0.142857142857143,0.112676056338028,0.2125,0.102564102564103,0.2,0.333333333333333,0.24,0.302325581395349,0.2,0,0.222222222222222,0.333333333333333,0.166666666666667,0.142857142857143,0,0.5,1,0.333333333333333,0
"ARHGAP21",0.461538461538462,0.403508771929825,0.272727272727273,0.37037037037037,0.470588235294118,0.648648648648649,0.565217391304348,0.333333333333333,0.333333333333333,1,0.9,0,0,0.352941176470588,0.647058823529412,0.222222222222222,0.625,0.5,0.588235294117647,0.166666666666667,0.6,0,0.5,1,0.666666666666667,0,1,0.666666666666667,0,0.4,1,0.351851851851852,0.260869565217391,0.769230769230769,0.5,0.388888888888889,0.551724137931034,0.5,0.395348837209302,0.5,0,0.511627906976744,0.5,0.566666666666667,0.6,0,1,0.630434782608696,0.692307692307692,0.553846153846154,0.5,0.666666666666667,0.523809523809524,0.466666666666667,0.846153846153846,0.333333333333333,0.4375,0.75,0.666666666666667,0.333333333333333,1,0.461538461538462,0.5,1,0.333333333333333,0.620689655172414,0.2,0.666666666666667,0.8,0.5,0,0.330434782608696,0.62,0.554054054054054,0.523809523809524,0.25,0.75,0.555555555555556,0.523809523809524,0.8,0.375,0.705882352941177,0.333333333333333,0.333333333333333,0.4,0.375,0.5,0.722222222222222,0.684210526315789,0.428571428571429,0.333333333333333,0.75,0.285714285714286,0.458333333333333,0.523809523809524,0.267605633802817,0.7,0.512820512820513,0.65,0.666666666666667,0.72,0.441860465116279,0.4,0,0.555555555555556,0.666666666666667,0.833333333333333,0.571428571428571,1,0.5,0.666666666666667,0.666666666666667,0.75
"ASCC3",0.153846153846154,0.12280701754386,0.0606060606060606,0.111111111111111,0.294117647058824,0.162162162162162,0.152173913043478,0,0.333333333333333,1,0,0,0,0.117647058823529,0.0588235294117647,0,0,0.25,0,0.166666666666667,0,0.2,0.5,0,0,0,0,0.111111111111111,0,0.2,0,0.0185185185185185,0.0869565217391304,0.0769230769230769,0.15625,0,0.0689655172413793,0.125,0.0697674418604651,0.0454545454545455,0,0.13953488372093,0,0.0333333333333333,0,0.25,0,0.217391304347826,0.307692307692308,0.0615384615384615,0.0833333333333333,0,0.0476190476190476,0.133333333333333,0.153846153846154,0.333333333333333,0.0625,0.25,0.25,0.333333333333333,0,0.0769230769230769,0.0555555555555556,0,0,0.0689655172413793,0.2,0.111111111111111,0.2,0,0,0.121739130434783,0.21,0.0675675675675676,0,0,0,0.111111111111111,0.0476190476190476,0.4,0.1875,0.0588235294117647,0.166666666666667,0.5,0.1,0.25,0,0.111111111111111,0.210526315789474,0,0,0.125,0.142857142857143,0.0833333333333333,0.285714285714286,0.112676056338028,0.1125,0.0769230769230769,0.1,0,0.04,0.0232558139534884,0.2,0,0.222222222222222,0,0.166666666666667,0.142857142857143,0,0,0,0,0
"ASIC3",0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0.2,0,0,0,0.166666666666667,0,0,0,0,0,0,0.0185185185185185,0.0434782608695652,0,0.0625,0,0,0,0,0,0,0.0465116279069767,0,0,0,0,0,0,0.0769230769230769,0,0.0833333333333333,0,0.0952380952380952,0,0,0,0,0,0.0833333333333333,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0.03,0.0810810810810811,0.0952380952380952,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0.25,0.0555555555555556,0.0526315789473684,0,0,0,0,0.0416666666666667,0,0.0140845070422535,0.0375,0.0256410256410256,0.05,0,0,0.0232558139534884,0,0,0.222222222222222,0,0,0.142857142857143,0,0,0,0,0
