"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52"
"IRF2BPL",3834.39456677304,1078.51982070655,106.163001766246,-863.284166726972,270.335754920171,11.5278284811918,587.96220319503,-1173.39811475928,-1452.03655216279,590.042714470881,779.128736294349,761.174270682126,82.0785950441725,368.665162195578,-235.05435261356,288.120979907335,-349.934914575226,-115.239213636665,-474.470411906823,-55.9713171975664,561.146942073021,349.60115676232,550.930421737081,-20.9921610739569,115.586749134507,-38.4754662833265,-582.367923926678,-210.693034382809,-645.358720890753,-423.327157070272,364.919179410237,-129.361867075544,75.5957139376323,544.37468800698,-321.147163708261,73.2235781730155,-532.488759901888,64.7084476379074,-34.5550322300136,-165.712756525321,-49.058427037042,-246.441126507973,71.8450272951844,238.023712200656,550.711080737397,331.813688742672,260.836121643315,248.887759800378,-220.567120674969,233.790958027232,314.725225622128,149.426969945106
"MAGEL2",660.673342005233,130.999185524221,10.4953044334347,-89.2879276143432,15.4501526341196,-44.2683915290675,116.717362579159,-196.875824204556,-171.105207899896,50.243760037816,97.9711996492007,177.871291220483,-97.0052056362129,106.836670252198,-11.0433724573984,67.9297273645217,-19.2176290740413,-105.616297224229,19.3207244141774,-79.0238048347024,-36.3247487129673,90.9500495727487,48.5899022260709,-101.884265892712,39.5603171234328,40.728385327507,-22.2792968519631,-108.773594367757,-67.2683443623159,-37.7089894149701,62.1795214743967,5.72563174821725,68.261219279567,84.7140633602158,-90.5065515210493,-139.188110935584,25.3615970042693,-5.4430439385494,-97.3082740499289,17.1073102767814,-57.9264214792042,14.7775704479714,88.0617997826728,-38.2577026213882,58.6618491441868,80.0904457317158,169.615490045367,12.2140120171408,31.5153334192101,-77.776114127468,148.534941435253,-41.400202703692
"GABRB3",5136.8721538612,1903.38870989357,121.945748038327,-2275.95954532892,395.544365095792,-349.755713570451,1808.99359771413,-888.688936795506,-2303.37389969597,674.237950116944,531.9074278586,1075.40394738561,278.397597133456,-403.460722554545,-183.265450237451,352.485033584381,-310.076594196392,249.76793431959,-427.020883413368,316.279308626801,-119.156553494409,-80.9701185965005,625.114264980575,-730.493262244484,617.26242085499,180.753777741243,-236.457392340124,97.6814129048631,-512.269803258068,-234.764129346239,487.948517849147,-341.527920874592,-184.763345732626,545.502408960283,435.547836769861,-487.523403806084,-430.188377863085,424.4434979216,290.514850880009,237.852954571265,437.403924699406,18.9786474915034,232.60201489627,618.499281786613,95.1163025412876,141.094104844939,101.775070951653,660.383727081541,-12.5239177375659,-164.866815396263,337.279936959369,-19.1769549682847
"CHD2",11180.0080800592,1296.79080140884,-873.075777118543,-191.437878485913,106.794939697241,1233.94616063981,761.593110773908,-2172.00456923036,-2322.48925071662,249.63580696429,2121.32917398572,-15.0285035198831,-335.594418394087,-56.5546938014123,387.809937107775,-368.274914730147,-227.767844686144,729.473793887665,-659.338258976487,395.205221232224,-155.736288493575,367.643324280352,-490.993258457224,-185.492067530018,-306.081870391541,44.8303283352533,-203.655564991647,-372.514797766484,-635.656996458031,-636.055497152975,576.700298794952,-782.710000946692,233.558677107633,-194.120682004561,-837.989246933271,124.078966333725,73.9544154474196,99.7110881996635,140.856845391789,-157.005282150758,-123.953576269736,-109.139821032695,-104.517135031901,525.212102349529,-319.606007761679,-512.620400036229,259.539236325796,-256.340010471943,550.186962885789,309.233215637788,976.785769900093,190.325384591754
"CACNA1H",784.810584428193,163.455337477413,12.9297223756499,-285.506016698975,-2.1647089056087,7.13966147580789,154.452932428622,-25.4145265756894,-239.829199719414,31.518696607842,69.3170292226873,224.084213304682,6.59902929062363,-209.308450147441,33.8077630880597,-140.180781533067,17.1023980425744,50.7239806495687,13.6032800334426,13.8675506475896,181.362346224559,269.396511415261,8.68658941192389,105.594598603576,38.079164039475,126.442211483878,90.5094909676806,83.5110649713758,30.4772383723813,136.176887431584,107.403956300445,6.70916847337993,56.1918617331071,89.5601651841005,-26.1093583938123,-75.7406001656299,24.7902844469331,44.6605284149829,12.652157863184,66.0719250615972,-148.615927003849,-6.13179285754707,-6.81320427615952,-64.7166361266895,74.8843401537075,75.0690344708807,21.1958043211195,40.9787040177089,-222.434228920411,-111.701444184639,-106.204720230764,-73.9976282679985
"USP7",5283.28605196523,1634.84070902268,130.11968957091,-284.381106130341,499.238886718825,-52.9786952518441,1484.89764527131,-994.429082792705,-1917.34551363934,704.82295100828,1413.52519527606,1226.49574369201,-179.666271054807,-264.624978424835,-86.4058495209104,272.993026291291,-378.317232554894,131.47819492419,-665.519854954981,-211.407333795187,233.909295615885,156.001813334712,-170.575173233497,-285.014146413336,607.876658603884,188.286957801255,-320.029563413155,-790.704030804118,-512.933799708646,-419.448463153326,103.085066712566,64.9559259563837,301.950916887532,-0.384405114200593,658.1948630063,-71.7653485821213,-607.83876052176,-155.746604681101,77.1118801172428,354.254253188298,68.5481859116705,-77.5556317602196,210.970819527196,299.733887903093,149.090637874785,-14.27481418745,220.580044661065,-102.703174542571,-659.993053753266,-221.340836288275,568.902028786879,233.596185951316
"TAOK2",992.309176119453,369.664795424687,-59.4772180536728,-56.0475242614022,-25.6593775397683,159.381927984619,100.322036730539,-167.889230238691,-260.281401695987,-13.6023710239378,219.666819685297,176.565087447751,-57.5398006114393,-136.139855866482,164.304555914825,-66.6132081278657,13.3812086534198,-162.375351062612,102.253676121977,94.2199769249705,-76.6251150860152,80.669844620248,22.3111375886406,-51.6264315842195,127.83188674898,109.207373147159,-0.168581270138582,-59.2375955993585,2.87956125091562,-108.543494483727,24.7922274099797,-85.7750639456152,-125.075379185037,-1.402531688029,-5.5131273237637,50.7748304337213,-23.0322203454415,-63.0679518947357,113.268773331038,-8.90392616971348,-20.9476177602382,-3.30891581169265,154.128621018094,-99.4236946738997,68.6148873895143,-175.876493249152,-0.478998931047075,-80.4578741101594,10.3223420863079,14.0508712579488,-42.0901496363109,107.266556128394
"SRCAP",1515.97310926387,650.314713451585,54.7902744269759,269.159101725098,133.104178035968,163.875423451814,184.926153374436,-115.605858127908,-161.942459341581,74.5437549590389,66.2623883164423,123.852356995938,75.2515152048861,25.7948770484748,-27.7348462601883,39.7987546211955,144.53374233567,-102.146240133559,-12.0101750517543,-34.2780499854338,79.9891536103529,38.2543120691512,-97.4955868781444,59.8769276233273,192.169874759997,16.0268824023624,-258.203259492332,-135.306184078421,-98.2557871448474,-12.5588734033555,68.3978851476435,-28.2404010703124,135.612608178817,-29.1057314777953,-139.262881698628,-95.1122828986478,63.0529441438865,122.175066444946,-46.3632705297267,-83.9609441388926,139.620421895089,-164.482337643843,196.917545629251,36.4091931579035,17.2543760940624,-140.048065549437,236.253880132857,141.776527403426,103.104142121664,-84.7063128911781,-30.2724687806749,92.0459290344742
"BCKDK",2511.41813949254,1267.06395303687,255.772210384416,776.169064804506,100.822344286207,167.25988801178,182.27861291358,-870.861397341776,-37.2819259202855,-45.0531327462733,-6.14881015684986,343.845356538466,-468.57566132702,66.0467278296747,-127.034272518684,-8.61843659958439,-31.2843350448148,-330.384424834875,193.337901929746,-94.4311234102776,23.8930642571389,-37.2262719442974,30.4370268017589,-103.36199186834,184.989357308381,-55.0602550642487,-70.0594274312858,-27.4578897156152,434.909288305748,-208.771651546444,-374.834290956647,-137.674432895526,440.066667346542,181.730365730618,-203.904610750365,-165.478086043396,188.333981967446,63.2277736708568,-103.012884860629,-40.1559178041315,265.42229222121,-133.053179198525,204.040172140395,35.3979889451956,136.480331254942,-105.782579617803,295.419619084924,-31.1838820195037,-88.4183689031491,-16.0938955380885,-182.302461005171,-89.8627698929501
"ANKRD11",11769.7417384354,1768.63392639921,-316.242140482234,-627.275281581172,724.346702061818,1656.02222128358,2325.66965060107,-3086.63645333444,-4907.10457373871,1373.26741030995,2970.88389033125,-263.996566413854,562.34328242388,-2728.27834379365,753.939827985481,-616.667344860657,-351.063725270721,1225.35506769163,-2329.47984085173,1640.05563540731,-326.869634435262,651.840110761315,-866.076136187698,842.733446333061,38.864462124597,-693.751492053179,87.7644225994146,-491.785378580398,-625.191560547053,605.299882116018,1027.88338675702,-707.911877310675,1573.43691394272,-121.921086384915,-63.3453085834054,-639.511461480425,-1644.53009556981,-1386.03196018132,261.824865921719,150.768626391644,-1698.74071844806,-482.719480893181,-1597.6554243446,530.908374039449,110.626292305413,-184.688183937069,256.016656002739,-404.49407750385,1005.29279722892,512.089859950678,-566.711201746245,-258.521250630072
